Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.3296,131072,1024
Memory Setup Time,2.10796,131072,1024
Kernel Exec Time,0.171008,131072,1024
Total Exec Time,2.2638,131072,1024
Memory Setup Time,2.04051,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,4.72929,131072,1024
Memory Setup Time,4.50597,131072,1024
Kernel Exec Time,0.169984,131072,1024
Total Exec Time,3.40979,131072,1024
Memory Setup Time,3.18412,131072,1024
Kernel Exec Time,0.172031,131072,1024
Total Exec Time,4.56761,131072,1024
Memory Setup Time,4.34556,131072,1024
Kernel Exec Time,0.171008,131072,1024
Total Exec Time,3.50338,131072,1024
Memory Setup Time,3.28126,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,2.37893,131072,1024
Memory Setup Time,2.15623,131072,1024
Kernel Exec Time,0.171009,131072,1024
Total Exec Time,5.86459,131072,1024
Memory Setup Time,5.64204,131072,1024
Kernel Exec Time,0.169983,131072,1024
Total Exec Time,4.34624,131072,1024
Memory Setup Time,4.12284,131072,1024
Kernel Exec Time,0.171008,131072,1024
Total Exec Time,2.95972,131072,1024
Memory Setup Time,2.73735,131072,1024
Kernel Exec Time,0.171009,131072,1024
Total Exec Time,2.79534,131072,1024
Memory Setup Time,2.57305,131072,1024
Kernel Exec Time,0.171009,131072,1024
Total Exec Time,4.24363,131072,1024
Memory Setup Time,4.01755,131072,1024
Kernel Exec Time,0.171008,131072,1024
Total Exec Time,2.05798,131072,1024
Memory Setup Time,1.83939,131072,1024
Kernel Exec Time,0.172033,131072,1024
Total Exec Time,2.1181,131072,1024
Memory Setup Time,1.89577,131072,1024
Kernel Exec Time,0.171009,131072,1024
Total Exec Time,2.69562,131072,1024
Memory Setup Time,2.47337,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,2.82548,131072,1024
Memory Setup Time,2.60208,131072,1024
Kernel Exec Time,0.171007,131072,1024
