Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Memory Setup Time,0.070821,8192,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.177887,8192,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.073728,8192,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037983,8192,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.566371,16384,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.116997,16384,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.238145,16384,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.136768,16384,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036961,16384,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.825003,32768,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.212014,32768,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.310624,32768,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.223712,32768,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037408,32768,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.26426,65536,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.397901,65536,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.469951,65536,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.31488,65536,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037536,65536,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.10114,131072,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.786013,131072,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.780287,131072,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.417823,131072,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.07168,131072,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.5027,262144,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.36468,262144,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.840448,262144,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.11001,262144,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.139392,262144,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6.57176,524288,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.90091,524288,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.45408,524288,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.88211,524288,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.27648,524288,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,13.4207,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,5.99983,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.70249,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,4.11651,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.55104,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,25.1958,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,11.175,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5.31456,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,7.57332,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.06656,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,49.7748,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,23.4448,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,10.044,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,14.09,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2.09715,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,100.069,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,52.6114,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,18.8333,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,24.3809,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4.15335,8388608,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,186.531,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,101.302,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,37.277,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,39.5497,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8.30475,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,351.695,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,197.899,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,69.5135,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,67.5937,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,16.5725,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,687.822,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,384.917,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,136.885,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,132.808,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,33.1123,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1355.63,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,753.563,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,275.614,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,259.623,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,66.666,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2626.38,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1475.09,268435456,1024,NVIDIA GeForce RTX 2080 Ti
